player_id,player_name,nationality,position,preferred_foot,date_of_birth,birth_year,height_cm,height_category,market_value_eur,market_value_million
528894,Matt Smith,England,Central Midfield,right,2000-10-05,2000.0,176.0,Average,350000.0,0.35
250478,Matt Targett,England; Scotland,Left-Back,left,1995-09-18,1995.0,183.0,Tall,8000000.0,8.0
425306,Matt Turner,United States; Lithuania,Goalkeeper,right,1994-06-24,1994.0,191.0,Very Tall,5000000.0,5.0
1066781,Matt Woods,England,Centre-Back,,1976-09-09,1976.0,,Unknown,,
493607,Matt Worthington,England,Central Midfield,,1997-12-18,1997.0,179.0,Average,,
54906,Matteo Darmian,Italy,Right-Back,right,1989-12-02,1989.0,183.0,Tall,10000000.0,10.0
5860,Matteo Ferrari,Italy; Guinea,Centre-Back,right,1979-12-05,1979.0,183.0,Tall,4000000.0,4.0
5964,Matteo Sereni,Italy,Goalkeeper,right,1975-02-11,1975.0,186.0,Tall,,
29149,Matthew Bates,England,Centre-Back,right,1986-12-10,1986.0,178.0,Average,1000000.0,1.0
13664,Matthew Bound,England,Centre-Back,,1972-11-06,1972.0,188.0,Tall,,
51318,Matthew Briggs,Guyana; England,Centre-Back,left,1991-03-06,1991.0,183.0,Tall,1000000.0,1.0
52496,Matthew Cassidy,Ireland,Right Midfield,right,1988-10-02,1988.0,183.0,Tall,50000.0,0.05
48306,Matthew Clarke,England,Centre-Back,right,1980-12-18,1980.0,190.0,Tall,,
66531,Matthew Collins,Wales,Central Midfield,right,1986-03-31,1986.0,178.0,Average,,
34559,Matthew Connolly,England,Centre-Back,right,1987-09-24,1987.0,188.0,Tall,750000.0,0.75
741236,Matthew Cox,England,Goalkeeper,right,2003-05-02,2003.0,183.0,Tall,800000.0,0.8
633659,Matthew Craig,Scotland; England,Defensive Midfield,,2003-04-16,2003.0,,Unknown,,
3788,Matthew Etherington,England,Left Midfield,left,1981-08-14,1981.0,178.0,Average,1500000.0,1.5
121327,Matthew Fletcher,Australia,Centre-Forward,both,1992-06-01,1992.0,181.0,Tall,,
306398,Matthew Ghent,England,Goalkeeper,,1980-10-05,1980.0,,Unknown,,
4095,Matthew Kilgallon,England,Centre-Back,,1984-01-08,1984.0,185.0,Tall,1500000.0,1.5
